person,dept,eow,cause
Deputy U.S. Marshal Thomas A. Royal,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, January 17, 1901",Cause: Gunfire (Accidental)
Special Deputy Marshal Simon Combs,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, January 23, 1901",Cause: Gunfire
Sheriff James E. Summers,"Madison County Sheriff's Office, MT","EOW: Friday, January 25, 1901",Cause: Gunfire
Special Policeman William C. Downing,"Union Pacific Railroad Police Department, RR","EOW: Tuesday, January 29, 1901",Cause: Gunfire (Accidental)
"Police Officer N. G. ""Doc"" Osborn","Columbus Police Department, GA","EOW: Thursday, January 31, 1901",Cause: Gunfire
Patrolman Edward Mullin,"New York City Police Department, NY","EOW: Thursday, January 31, 1901",Cause: Fire
Patrolman Thomas J. Fitzpatrick,"New York City Police Department, NY","EOW: Thursday, January 31, 1901",Cause: Fire
Night Patrolman Clifton Hopkins Slaton,"Madisonville Police Department, KY","EOW: Friday, February 1, 1901",Cause: Gunfire
City Marshal Gus H. Crouch,"Metropolis Police Department, IL","EOW: Thursday, February 7, 1901",Cause: Gunfire
Deputy Sheriff William Rainbolt,"Chaves County Sheriff's Department, NM","EOW: Friday, February 8, 1901",Cause: Gunfire
Patrolman Harry B. Fender,"Savannah Police Department, GA","EOW: Saturday, February 16, 1901",Cause: Gunfire
Deputy Sheriff Miles Coleman,"Alexander County Sheriff's Office, IL","EOW: Monday, February 18, 1901",Cause: Assault
Sheriff William B. Mathis,"Lafayette County Sheriff's Office, FL","EOW: Monday, February 25, 1901",Cause: Gunfire
Town Marshal William Berry Freeman,"Donalsonville Police Department, GA","EOW: Tuesday, February 26, 1901",Cause: Gunfire
Chief of Police John E. Moore,"Stanley Police Department, WI","EOW: Saturday, March 9, 1901",Cause: Gunfire
Deputy Sheriff Samuel Dorsey Holman,"Calaveras County Sheriff's Office, CA","EOW: Sunday, March 10, 1901",Cause: Gunfire
Patrolman John Thomas,"New Orleans Police Department, LA","EOW: Sunday, March 10, 1901",Cause: Gunfire
Deputy Sheriff Tom Johnson,"Pawnee County Sheriff's Office, OK","EOW: Tuesday, March 19, 1901",Cause: Gunfire
Town Marshal John Z. Norris,"Pocahontas Police Department, AR","EOW: Thursday, March 21, 1901",Cause: Gunfire
Deputy U.S. Marshal Alexander S. Whiteley,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, March 21, 1901",Cause: Gunfire
Police Officer William S. Elliott,"Columbus Police Department, GA","EOW: Wednesday, March 27, 1901",Cause: Gunfire
Officer Edward McGrath Morris,"Mobile Police Department, AL","EOW: Monday, April 1, 1901",Cause: Gunfire
Corporal Fred J. Richterkessing,"Louisville Police Department, KY","EOW: Monday, April 1, 1901",Cause: Gunfire
"Police Officer James McKeag, Jr.","Turtle Creek Borough Police Department, PA","EOW: Tuesday, April 9, 1901",Cause: Assault
Officer John T. Crum,"Danville Police Department, KY","EOW: Wednesday, April 10, 1901",Cause: Gunfire
Deputy Sheriff William Wright,"Letcher County Sheriff's Office, KY","EOW: Thursday, April 11, 1901",Cause: Gunfire
Detective Patrick Edward Fitzgerald,"Pittsburgh Police Department, PA","EOW: Friday, April 12, 1901",Cause: Gunfire
Patrolman James Sweeney,"Joplin Police Department, MO","EOW: Tuesday, April 23, 1901",Cause: Gunfire
Patrolman Bert Brannon,"Joplin Police Department, MO","EOW: Wednesday, April 24, 1901",Cause: Gunfire
Patrolman William F. Messenger,"Chicago Police Department, IL","EOW: Thursday, April 25, 1901",Cause: Gunfire
Special Officer Herbert D. Moore,"Cumberland Police Department, RI","EOW: Saturday, April 27, 1901",Cause: Gunfire
Patrolman George Claud Holt Pickett,"Pine Bluff Police Department, AR","EOW: Sunday, April 28, 1901",Cause: Gunfire
Constable Herbert Scott Walker,"Alturas Police Department, CA","EOW: Sunday, May 12, 1901",Cause: Gunfire
Patrolman Joseph Zannelli,"Kansas City Police Department, MO","EOW: Sunday, May 19, 1901",Cause: Gunfire (Accidental)
Officer John W. Wulbers,"Honolulu Police Department, HI","EOW: Wednesday, May 22, 1901",Cause: Animal related
Officer Allen Moore,"Lawrence Police Department, KS","EOW: Wednesday, May 22, 1901",Cause: Gunfire (Accidental)
Deputy Sergeant George Smith,"Grant County Sheriff's Department, OK","EOW: Sunday, May 26, 1901",Cause: Gunfire
Deputy Sheriff Christopher Goodwill,"Webster Parish Sheriff's Office, LA","EOW: Tuesday, May 28, 1901",Cause: Gunfire
Commissioner John McCarty,"Arizona Department of Game and Fish, AZ","EOW: Thursday, June 6, 1901",Cause: Gunfire (Accidental)
Deputy Sheriff David Branham,"Whitley County Sheriff's Department, KY","EOW: Saturday, June 8, 1901",Cause: Gunfire
Policeman William David Wood,"Advance Police Department, NC","EOW: Saturday, June 8, 1901",Cause: Gunfire
Chief of Police Silas Wilder,"Corbin Police Department, KY","EOW: Sunday, June 9, 1901",Cause: Gunfire
"Sheriff W. T. ""Brack"" Morris","Karnes County Sheriff's Department, TX","EOW: Wednesday, June 12, 1901",Cause: Gunfire
Officer Leslie N. Patrick,"Dallas Police Department, TX","EOW: Thursday, June 13, 1901",Cause: Gunfire
Sheriff Robert M. Glover,"Gonzales County Sheriff's Department, TX","EOW: Friday, June 14, 1901",Cause: Gunfire
Posseman Henry J. Schnabel,"Gonzales County Sheriff's Department, TX","EOW: Friday, June 14, 1901",Cause: Gunfire
Deputy Sheriff William Henry Dawkins,"Jefferson County Sheriff's Department, FL","EOW: Saturday, June 15, 1901",Cause: Gunfire
Police Officer Richard Delaney,"St. Louis Metropolitan Police Department, MO","EOW: Saturday, June 15, 1901",Cause: Gunfire
Deputy Sheriff Charles B. Holden,"Uinta County Sheriff's Office, WY","EOW: Wednesday, June 19, 1901",Cause: Gunfire
Police Officer Edward H. DeBray,"Atlanta Police Department, GA","EOW: Thursday, June 20, 1901",Cause: Gunfire
Officer Murphy E. Flory,"Hagerstown Police Department, MD","EOW: Wednesday, June 26, 1901",Cause: Gunfire
City Marshal W. E. Oakes,"Metropolis Police Department, IL","EOW: Saturday, June 29, 1901",Cause: Gunfire
Patrolman Garrett Cody,"Arlington Police Department, MA","EOW: Monday, July 1, 1901",Cause: Gunfire
Patrolman Patrick McGovern,"New Haven Police Department, CT","EOW: Tuesday, July 2, 1901",Cause: Struck by streetcar
Night Watchman Ole McMillan,"Humboldt Police Department, IA","EOW: Sunday, July 7, 1901",Cause: Gunfire
Deputy Sheriff Joseph Manning,"Bell County Sheriff's Department, KY","EOW: Sunday, July 14, 1901",Cause: Gunfire
Jailer James Watson Fuller,"Berkshire County Sheriff's Office, MA","EOW: Tuesday, July 16, 1901",Cause: Assault
Deputy Sheriff Cub Burney,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Wednesday, July 17, 1901",Cause: Stabbed
Deputy Sheriff Richard Read,"Hardin County Sheriff's Department, KY","EOW: Monday, July 22, 1901",Cause: Gunfire
Chief of Police Robert Allen Lilly,"Elkins Police Department, WV","EOW: Tuesday, July 23, 1901",Cause: Gunfire
Patrolman James Purdon,"Louisville Police Department, KY","EOW: Saturday, July 27, 1901",Cause: Fire
Officer William F. Weiss,"Houston Police Department, TX","EOW: Tuesday, July 30, 1901",Cause: Gunfire
Patrolman Hugh McKeon,"New Haven Police Department, CT","EOW: Wednesday, July 31, 1901",Cause: Gunfire
Chief of Police Sheldon Jones,"Shelby Police Department, NC","EOW: Sunday, August 4, 1901",Cause: Gunfire
Deputy Sheriff Wallace E. Cool,"Latah County Sheriff's Department, ID","EOW: Monday, August 5, 1901",Cause: Gunfire
Chief of Police R. D. Hudson,"Toms Creek Police Department, VA","EOW: Thursday, August 8, 1901",Cause: Gunfire
Patrolman Elim T. Clark,"Cripple Creek Police Department, CO","EOW: Friday, August 9, 1901",Cause: Electrocuted
Deputy Sheriff George M. Leftwich,"Jack County Sheriff's Department, TX","EOW: Saturday, August 10, 1901",Cause: Gunfire
Patrolman John Schroeder,"Cincinnati Police Department, OH","EOW: Saturday, August 17, 1901",Cause: Electrocuted
Deputy Sheriff Marshall M. Bomar,"Henry County Sheriff's Department, TN","EOW: Tuesday, September 3, 1901",Cause: Gunfire
Deputy Constable Adam Strunk,"Pennsylvania State Constable - Monroe County, PA","EOW: Tuesday, September 24, 1901",Cause: Gunfire
Deputy U.S. Marshal John Poe,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, September 25, 1901",Cause: Gunfire
Detective Lieutenant William Foulks,"Cleveland Division of Police, OH","EOW: Sunday, September 29, 1901",Cause: Gunfire
Chief of Police Hill J. Cates,"Huntsville Police Department, TX","EOW: Sunday, September 29, 1901",Cause: Gunfire
Patrolman John E. Hoey,"New York City Police Department, NY","EOW: Friday, October 4, 1901",Cause: Struck by vehicle
Special Agent George C. Montgomery,"Atchison, Topeka and Santa Fe Railroad Police Department, RR","EOW: Sunday, October 6, 1901",Cause: Gunfire
Deputy Sheriff William Thomas Maxwell,"Apache County Sheriff's Office, AZ","EOW: Monday, October 7, 1901",Cause: Gunfire
Ranger Carlos Tafolla,"Arizona Rangers, AZ","EOW: Monday, October 7, 1901",Cause: Gunfire
Deputy Sheriff Frank E. Adams,"Monroe County Sheriff's Office, FL","EOW: Monday, October 7, 1901",Cause: Gunfire
Chief of Police Hansford P. Gipson,"Tuscumbia Police Department, AL","EOW: Monday, October 14, 1901",Cause: Gunfire
Deputy Sheriff Robert H. Coffey,"Christian County Sheriff's Office, KY","EOW: Saturday, October 26, 1901",Cause: Gunfire
Special Officer James W. Brown,"Mobile and Ohio Railroad Police Department, RR","EOW: Tuesday, October 29, 1901",Cause: Gunfire
Town Marshal Silas W. Smith,"Cosmopolis Police Department, WA","EOW: Friday, November 15, 1901",Cause: Gunfire
Correctional Officer Joseph B. Waldrupe,"United States Department of Justice - Federal Bureau of Prisons, US","EOW: Saturday, November 16, 1901",Cause: Gunfire
Deputy U.S. Marshal John A. Montgomery,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 17, 1901",Cause: Gunfire
Deputy U.S. Marshal Hugh Montgomery,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 17, 1901",Cause: Gunfire
Police Officer James R. White,"Junction City Police Department, KS","EOW: Monday, November 18, 1901",Cause: Gunfire
Police Officer Robert Cooper,"Junction City Police Department, KS","EOW: Wednesday, November 20, 1901",Cause: Gunfire
Patrolman Luther Brooks,"Cincinnati Police Department, OH","EOW: Friday, November 22, 1901",Cause: Gunfire (Accidental)
City Marshal Charles J. Lodine,"Albert City Marshal's Office, IA","EOW: Saturday, November 23, 1901",Cause: Gunfire
Marshal Rolland P. Smith,"Chelsea Marshal's Office, IA","EOW: Thursday, December 5, 1901",Cause: Gunfire
Police Officer John C. James,"Houston Police Department, TX","EOW: Wednesday, December 11, 1901",Cause: Gunfire
Police Officer Herman Youngst,"Houston Police Department, TX","EOW: Wednesday, December 11, 1901",Cause: Gunfire
Police Officer Michael Burke,"St. Louis Metropolitan Police Department, MO","EOW: Friday, December 13, 1901",Cause: Electrocuted
Inspector Alphonse Levy,"United States Department of the Treasury - Customs Service, US","EOW: Friday, December 13, 1901",Cause: Struck by train
Sheriff Stephen Frank Edwards,"Gadsden County Sheriff's Office, FL","EOW: Saturday, December 14, 1901",Cause: Assault
Constable James W. Murray,"Burnet County Constable's Office - Precinct 1, TX","EOW: Friday, December 20, 1901",Cause: Gunfire
Constable Hezekiah James Augustus Reeves,"Pineville Police Department, LA","EOW: Tuesday, December 24, 1901",Cause: Gunfire
Constable John Dillon,"Mingo County Constable's Office, WV","EOW: Tuesday, December 24, 1901",Cause: Gunfire
Policeman Juan Lopez-Jimenez,"Puerto Rico Police Department, PR","EOW: Wednesday, January 1, 1902",Cause: Stabbed
Sheriff W. C. Ricker,"Natrona County Sheriff's Department, WY","EOW: Thursday, January 2, 1902",Cause: Gunfire
Police Officer Dick Bullard,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 4, 1902",Cause: Gunfire
Deputy U.S. Marshal J. N. Holsonback,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, January 11, 1902",Cause: Gunfire
Sheriff Frank E. Smith,"Caddo County Sheriff's Office, OK","EOW: Wednesday, January 15, 1902",Cause: Gunfire
Deputy Sheriff George Beck,"Caddo County Sheriff's Office, OK","EOW: Wednesday, January 15, 1902",Cause: Gunfire
Officer Eugene C. Robinson,"San Francisco Police Department, CA","EOW: Tuesday, January 21, 1902",Cause: Gunfire
Town Constable Benjamin A. Martin,"Moweaqua Police Department, IL","EOW: Saturday, February 1, 1902",Cause: Gunfire
Police Officer Charles Mayer,"St. Paul Police Department, MN","EOW: Saturday, February 1, 1902",Cause: Gunfire
Policeman James Redmond,"Jackson Police Department, MS","EOW: Saturday, February 1, 1902",Cause: Gunfire
"Officer Mark W. Allen, Jr.","Chester Police Department, PA","EOW: Saturday, February 1, 1902",Cause: Gunfire
Sheriff John Hall Powers,"Johnson County Sheriff's Office, AR","EOW: Wednesday, February 5, 1902",Cause: Gunfire
Deputy Sheriff William Cooper,"Jefferson County Sheriff's Office, WI","EOW: Saturday, February 8, 1902",Cause: Gunfire
Deputy Game Warden Gasper Ratto,"Illinois Department of Conservation - Division of Law Enforcement, IL","EOW: Tuesday, February 11, 1902",Cause: Duty related illness
Deputy Sheriff Charles Cecil,"Bell County Sheriff's Department, KY","EOW: Monday, February 17, 1902",Cause: Gunfire
Posseman John Doyle,"Bell County Sheriff's Department, KY","EOW: Monday, February 17, 1902",Cause: Gunfire
Deputy Sheriff J. S. Smith,"Russell County Sheriff's Office, VA","EOW: Saturday, February 22, 1902",Cause: Gunfire
Constable James Henan DeLaney,"Vina Township Constable's Office, CA","EOW: Monday, February 24, 1902",Cause: Gunfire
Police Officer Thomas Keefe,"Everett Police Department, MA","EOW: Friday, February 28, 1902",Cause: Gunfire
Deputy Sheriff Thomas J. Thompson,"Talbot County Sheriff's Office, MD","EOW: Saturday, March 1, 1902",Cause: Gunfire
Police Officer William P. Walton,"Birmingham Police Department, AL","EOW: Tuesday, March 18, 1902",Cause: Gunfire
Policeman John J. Ryan,"Philadelphia Police Department, PA","EOW: Saturday, March 22, 1902",Cause: Heart attack
Station Keeper Henry Deering,"Cincinnati Police Department, OH","EOW: Monday, March 24, 1902",Cause: Struck by streetcar
Sheriff Charles Gassaway,"Colbert County Sheriff's Department, AL","EOW: Sunday, April 6, 1902",Cause: Gunfire
Deputy Sheriff Pat A. Prout,"Colbert County Sheriff's Department, AL","EOW: Monday, April 7, 1902",Cause: Gunfire
Deputy Sheriff James Payne,"Colbert County Sheriff's Department, AL","EOW: Monday, April 7, 1902",Cause: Gunfire
Deputy Sheriff William Gassaway,"Colbert County Sheriff's Department, AL","EOW: Monday, April 7, 1902",Cause: Gunfire
Deputy Sheriff Jesse Davis,"Colbert County Sheriff's Department, AL","EOW: Monday, April 7, 1902",Cause: Gunfire
Deputy Sheriff Bob Wallace,"Colbert County Sheriff's Department, AL","EOW: Monday, April 7, 1902",Cause: Gunfire
Clerk Terence Joseph Donnelly,"St. Louis Metropolitan Police Department, MO","EOW: Monday, April 7, 1902",Cause: Struck by streetcar
Deputy Marshal Frank Taylor,"South Fulton Police Department, TN","EOW: Wednesday, April 9, 1902",Cause: Gunfire
Deputy Sheriff Richard W. Slusher,"Bell County Sheriff's Department, KY","EOW: Friday, April 11, 1902",Cause: Gunfire (Accidental)
Chief of Police Page Campbell Marstiller,"Elkins Police Department, WV","EOW: Friday, April 11, 1902",Cause: Gunfire
Policeman John E. Bailey,"Waterloo Police Department, IA","EOW: Friday, April 18, 1902",Cause: Animal related
Town Marshal Ralph Marcum,"Fallsburg Marshal's Office, KY","EOW: Saturday, April 19, 1902",Cause: Gunfire
Patrolman Patrick Duffy,"Chicago Police Department, IL","EOW: Thursday, May 1, 1902",Cause: Gunfire
Sergeant Frank McNamara,"Kansas City Police Department, MO","EOW: Tuesday, May 6, 1902",Cause: Gunfire
Deputy Sheriff Jesse Mitchell,"Henderson County Sheriff's Office, KY","EOW: Sunday, May 11, 1902",Cause: Gunfire
Officer Andrew J. Grimes,"Fort Worth Police Department, TX","EOW: Monday, May 12, 1902",Cause: Gunfire
Chief of Police Thadeus E. Davis,"Smithfield Police Department, VA","EOW: Friday, May 16, 1902",Cause: Gunfire (Accidental)
Policeman Hugh Osburn,"Fulton County Office of Inspector of Roads and Bridges, GA","EOW: Saturday, May 17, 1902",Cause: Gunfire
Police Officer Thomas S. Grant,"Atlanta Police Department, GA","EOW: Saturday, May 17, 1902",Cause: Gunfire
Police Officer Edward Crabtree,"Atlanta Police Department, GA","EOW: Saturday, May 17, 1902",Cause: Gunfire
Bailiff Ed Battle,"Fulton County Office of Inspector of Roads and Bridges, GA","EOW: Saturday, May 17, 1902",Cause: Gunfire
Patrolman James H. Sheehy,"Pittsburgh Police Department, PA","EOW: Sunday, May 18, 1902",Cause: Gunfire
Police Officer Charles J. Donohue,"Baltimore City Police Department, MD","EOW: Tuesday, May 20, 1902",Cause: Gunfire
"Sheriff Wilson Noah Holbrook, Sr.","Wise County Sheriff's Office, VA","EOW: Tuesday, May 20, 1902",Cause: Duty related illness
Town Marshal W. A. Hyers,"Adel Police Department, GA","EOW: Monday, May 26, 1902",Cause: Gunfire
Police Officer James William Finn,"St. Paul Police Department, MN","EOW: Tuesday, June 3, 1902",Cause: Animal related
Constable Charles Cummins,"Shasta County Constable's Office, CA","EOW: Wednesday, June 4, 1902",Cause: Gunfire
"Correctional Officer Thurston Jones, Sr.","Oregon Department of Corrections, OR","EOW: Monday, June 9, 1902",Cause: Gunfire
Correctional Officer Frank Bonham Ferrell,"Oregon Department of Corrections, OR","EOW: Monday, June 9, 1902",Cause: Gunfire
Correctional Officer Bailey T. Tiffany,"Oregon Department of Corrections, OR","EOW: Monday, June 9, 1902",Cause: Gunfire
Policeman James Ellis,"Elk Park Police Department, NC","EOW: Thursday, June 12, 1902",Cause: Gunfire
City Marshal Samuel Perry Burks,"McKinney Police Department, TX","EOW: Thursday, June 12, 1902",Cause: Gunfire
Guard Homer Stone,"Stark County Sheriff's Office, OH","EOW: Monday, June 16, 1902",Cause: Gunfire
Constable Dock Ferguson,"Morgan County Constable's Office, KY","EOW: Thursday, June 19, 1902",Cause: Gunfire
City Marshal John Swearingen,"Jefferson Police Department, IA","EOW: Saturday, June 21, 1902",Cause: Gunfire
Sheriff John S. Harrington,"Monroe County Sheriff's Office, AL","EOW: Monday, June 30, 1902",Cause: Gunfire
Sheriff Andrew Jackson Bullard,"Roger Mills County Sheriff's Office, OK","EOW: Monday, June 30, 1902",Cause: Gunfire
Deputy Sheriff John Cogburn,"Roger Mills County Sheriff's Office, OK","EOW: Monday, June 30, 1902",Cause: Gunfire
Detective Charles Raymond,"Everett Police Department, WA","EOW: Thursday, July 3, 1902",Cause: Gunfire
Police Officer Enoch E. Breece,"Seattle Police Department, WA","EOW: Thursday, July 3, 1902",Cause: Gunfire
Detective William J. Hanson,"Jersey Central Railroad Police Department, RR","EOW: Friday, July 4, 1902",Cause: Struck by train
Patrolman John Cosgrove,"Jersey Central Railroad Police Department, RR","EOW: Friday, July 4, 1902",Cause: Struck by train
Posseman Cornelius Rowley,"King County Sheriff's Office, WA","EOW: Friday, July 4, 1902",Cause: Gunfire
Detective Sergeant John J. Sheridan,"New York City Police Department, NY","EOW: Wednesday, July 16, 1902",Cause: Gunfire
Police Officer Joseph C. Flanders,"Swainsboro Police Department, GA","EOW: Friday, July 18, 1902",Cause: Gunfire
Town Marshal James Cockrill,"Jackson Police Department, KY","EOW: Tuesday, July 22, 1902",Cause: Gunfire
Deputy Sheriff Daniel Curtis Ahl,"Aiken County Sheriff's Office, SC","EOW: Tuesday, July 22, 1902",Cause: Gunfire
Chief of Police Francis Hays Wilmoth,"Coalton Police Department, WV","EOW: Tuesday, July 22, 1902",Cause: Gunfire
Sheriff William P. Stanley,"Dickenson County Sheriff's Office, VA","EOW: Friday, July 25, 1902",Cause: Gunfire
Officer William H. Katzenstein,"Tucson Police Department, AZ","EOW: Saturday, July 26, 1902",Cause: Gunfire
Marshal Dave Barton,"Knoxville Police Department, KY","EOW: Sunday, July 27, 1902",Cause: Gunfire
Patrolman Frank Holmes,"Granite City Police Department, IL","EOW: Wednesday, July 30, 1902",Cause: Gunfire
City Marshal Leonard S. Rich,"Webb City Police Department, MO","EOW: Sunday, August 10, 1902",Cause: Gunfire
Patrolman Charles Pennell,"Chicago Police Department, IL","EOW: Tuesday, August 12, 1902",Cause: Gunfire
Patrolman Timothy T. Devine,"Chicago Police Department, IL","EOW: Tuesday, August 12, 1902",Cause: Gunfire
Patrolman George H. Allen,"Galesburg Police Department, IL","EOW: Thursday, August 14, 1902",Cause: Gunfire
Patrolman John J. Condon,"Hoboken Police Department, NJ","EOW: Friday, August 15, 1902",Cause: Assault
Police Officer Clarence Lawrence Eaton,"Donora Borough Police Department, PA","EOW: Saturday, August 16, 1902",Cause: Gunfire
Patrolman Joseph W. Westlake,"Narragansett Police Department, RI","EOW: Friday, August 22, 1902",Cause: Gunfire
Patrolman Patrick J. Cronin,"Buffalo Police Department, NY","EOW: Saturday, August 23, 1902",Cause: Struck by train
"Chief of Police William A. ""Bill"" Fanning","Coopers Police Department, WV","EOW: Tuesday, August 26, 1902",Cause: Gunfire
Police Officer John J. Flowers,"Bessemer Police Department, AL","EOW: Thursday, August 28, 1902",Cause: Gunfire
Sergeant William Morris,"Kansas City Police Department, KS","EOW: Tuesday, September 2, 1902",Cause: Gunfire
Operative William Craig,"United States Department of the Treasury - United States Secret Service, US","EOW: Wednesday, September 3, 1902",Cause: Struck by streetcar
Sheriff William E. Strain,"Monona County Sheriff's Department, IA","EOW: Friday, September 5, 1902",Cause: Gunfire
Railroad Detective James Moran,"Lake Shore and Michigan Southern Railroad Police Department, RR","EOW: Sunday, September 7, 1902",Cause: Gunfire (Accidental)
Private W. Emmett Robuck,"Texas Rangers, TX","EOW: Tuesday, September 9, 1902",Cause: Gunfire
Deputy Sheriff Will R. Velvin,"Hunt County Sheriff's Office, TX","EOW: Saturday, September 13, 1902",Cause: Gunfire
Night Marshal Augustine P. Cate,"Goldfield Marshal's Office, CO","EOW: Sunday, September 21, 1902",Cause: Gunfire
Deputy City Marshal Ed Smith,"Port Arthur Police Department, TX","EOW: Wednesday, September 24, 1902",Cause: Gunfire
Constable Harry Buck,"Cumberland County Sheriff's Office, NJ","EOW: Thursday, September 25, 1902",Cause: Gunfire
Town Marshal William Lattimore Lea,"Kentwood Police Department, LA","EOW: Tuesday, October 14, 1902",Cause: Gunfire
Deputy Marshal Thomas Nalley,"Scofield Marshal's Office, UT","EOW: Tuesday, October 14, 1902",Cause: Gunfire
City Marshal Ben J. Hill,"Blossom Police Department, TX","EOW: Sunday, October 19, 1902",Cause: Gunfire
"Deputy U.S. Marshal Luther ""Lute"" Houston","United States Department of Justice - United States Marshals Service, US","EOW: Monday, October 20, 1902",Cause: Gunfire
Police Officer Michael Reedy,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, October 28, 1902",Cause: Gunfire
Constable Henry Phelps,"Lenox Constable's Office, NY","EOW: Friday, October 31, 1902",Cause: Drowned
Patrolman Dennis Shea,"New York City Police Department, NY","EOW: Tuesday, November 4, 1902",Cause: Explosion
"City Marshal Joseph J. ""Joe"" Jordan","Orange Police Department, TX","EOW: Wednesday, November 5, 1902",Cause: Gunfire
Marshal Nicholas Hopperton,"Independence Police Department, KY","EOW: Saturday, November 8, 1902",Cause: Gunfire
Deputy Sheriff Nicholas Bodkin,"Kenton County Sheriff's Office, KY","EOW: Thursday, November 13, 1902",Cause: Gunfire
Special Officer Charles E. Dillon,"Chicago and Northwestern Railroad Police Department, RR","EOW: Thursday, November 20, 1902",Cause: Gunfire
Deputy Sheriff Amos Howell,"Watauga County Sheriff's Office, NC","EOW: Friday, November 21, 1902",Cause: Gunfire
Police Officer John B. Gendron,"Warwick Police Department, RI","EOW: Monday, November 24, 1902",Cause: Gunfire
Town Marshal Tom R. Holton,"Nicholls Police Department, GA","EOW: Saturday, December 6, 1902",Cause: Gunfire
Patrolman Patrick McKeon,"Seneca Falls Police Department, NY","EOW: Friday, December 12, 1902",Cause: Electrocuted
City Marshal Robert C. Coulter,"Farmington Marshal's Office, IA","EOW: Sunday, December 21, 1902",Cause: Gunfire
Special Deputy Marshal E. C. Garrison,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, December 24, 1902",Cause: Gunfire
Chief of Detectives John Donahue,"Hot Springs Police Department, AR","EOW: Thursday, December 25, 1902",Cause: Gunfire
Policeman Milton Hinkle,"Pittsburg Police Department, KS","EOW: Friday, December 26, 1902",Cause: Gunfire
"Patrolman Salavia C. ""Lafe"" Bowen","Wheeling Police Department, WV","EOW: Friday, December 26, 1902",Cause: Gunfire
Police Officer Edward George,"Philadelphia Police Department, PA","EOW: Saturday, December 27, 1902",Cause: Struck by streetcar
Police Officer William J. Boka,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, December 28, 1902",Cause: Struck by streetcar
Patrolman Philip Goeble,"Lima Police Department, OH","EOW: Tuesday, December 30, 1902",Cause: Gunfire
Town Marshal Everett Smith,"Olla Police Department, LA","EOW: Thursday, January 1, 1903",Cause: Gunfire
Patrolman John Graham Kelty,"Pittsburgh Police Department, PA","EOW: Sunday, January 11, 1903",Cause: Train accident
Town Marshal Dan Lance,"Morehouse Police Department, MO","EOW: Tuesday, January 13, 1903",Cause: Gunfire
Patrolman John T. Collins,"New York City Police Department, NY","EOW: Monday, January 19, 1903",Cause: Duty related illness
Patrolman Alexander R. McKinney,"Kansas City Police Department, MO","EOW: Saturday, January 24, 1903",Cause: Gunfire
Sheriff Louis Ory,"St. Charles Parish Sheriff's Office, LA","EOW: Monday, January 26, 1903",Cause: Gunfire
Night Watchman William A. Daniels,"Cassopolis Police Department, MI","EOW: Monday, January 26, 1903",Cause: Accidental
Marshal John H. Bowman,"Punta Gorda Police Department, FL","EOW: Thursday, January 29, 1903",Cause: Gunfire
Chief of Police John King,"Bamberg Police Department, SC","EOW: Wednesday, February 4, 1903",Cause: Gunfire
Sheriff D. A. Crawford,"Johnson County Sheriff's Office, GA","EOW: Saturday, February 7, 1903",Cause: Gunfire
Patrolman Charles Doyle,"New Orleans Police Department, LA","EOW: Saturday, February 7, 1903",Cause: Gunfire
Sheriff William W. Withers,"Lane County Sheriff's Office, OR","EOW: Saturday, February 7, 1903",Cause: Gunfire
Patrolman Cyrus Shaeffer,"Lebanon Police Department, PA","EOW: Saturday, February 14, 1903",Cause: Gunfire
Jailer David B. Morrell,"Thurston County Sheriff's Department, WA","EOW: Sunday, March 1, 1903",Cause: Gunfire
Patrolman Patrick Henry Jordan,"Bangor Police Department, ME","EOW: Saturday, March 7, 1903",Cause: Gunfire
Patrol Officer Paul Mendelssohn,"Waterbury Police Department, CT","EOW: Sunday, March 8, 1903",Cause: Gunfire
Deputy Sheriff James Wesley Williams,"Marion County Sheriff's Office, KY","EOW: Thursday, March 19, 1903",Cause: Gunfire
Deputy City Marshal Albert Jordan,"Howe Police Department, TX","EOW: Friday, March 20, 1903",Cause: Gunfire
Deputy Sheriff Bert Casteel,"Laurel County Sheriff's Department, KY","EOW: Saturday, March 21, 1903",Cause: Gunfire
Deputy Sheriff Thompson B. Campbell,"McDonough County Sheriff's Office, IL","EOW: Monday, March 30, 1903",Cause: Stabbed
Constable Tom Crace,"Morgan County Constable's Office, KY","EOW: Sunday, April 5, 1903",Cause: Gunfire
Patrolman Louis D. Wanner,"Buffalo Police Department, NY","EOW: Sunday, April 5, 1903",Cause: Animal related
Town Marshal J. M. Bishop,"Girard Marshal's Office, AL","EOW: Monday, April 6, 1903",Cause: Stabbed
